shape_id,begin,end
38-M90-sj2-1.3.H,"1","143"
2-T8-sj2-9.48.R,"1","599"
38-M90-sj2-1.29.H,"1","737"
2-T8-sj2-9.43.H,"1","728"
2-T8-sj2-9.42.R,"1","605"
2-T8-sj2-9.56.R,"1","624"
2-T8-sj2-9.55.R,"1","623"
2-T8-sj2-9.54.H,"1","622"
22-951-0-sj2-1.1.H,"1","688"
2-T8-sj2-9.53.H,"1","740"
22-950-7-sj2-1.1.H,"1","1000"
2-T8-sj2-9.52.H,"1","740"
2-T8-sj2-9.51.H,"1","622"
22-950-3-sj2-1.1.H,"1","388"
2-T8-sj2-9.50.R,"1","598"
2-T8-sj2-9.5.H,"1","694"
2-T5-sj2-9.28.R,"1","849"
22-953-9-sj2-1.1.H,"1","286"
2-T5-sj2-9.27.R,"1","836"
22-953-4-sj2-1.1.H,"1","480"
2-T5-sj2-9.25.H,"1","654"
22-953-2-sj2-1.1.H,"1","180"
2-T5-sj2-9.24.H,"1","578"
22-953-0-sj2-1.1.H,"1","276"
2-T5-sj2-9.23.R,"1","570"
2-T5-sj2-9.22.H,"1","574"
2-T5-sj2-9.21.R,"1","650"
2-T5-sj2-9.35.H,"1","659"
2-T5-sj2-9.34.R,"1","567"
2-T5-sj2-9.33.R,"1","576"
2-T5-sj2-9.30.R,"1","826"
2-T5-sj2-9.3.H,"1","840"
2-T5-sj2-9.29.R,"1","835"
2-T5-sj2-9.42.H,"1","563"
2-T5-sj2-9.41.R,"1","653"
2-T5-sj2-9.40.R,"1","853"
2-T5-sj2-9.4.R,"1","831"
2-T5-sj2-9.39.R,"1","840"
2-T5-sj2-9.38.R,"1","840"
2-T5-sj2-9.37.R,"1","844"
22-823-sj2-1.6.R,"1","236"
2-T5-sj2-9.36.H,"1","570"
22-823-sj2-1.5.R,"1","162"
2-T5-sj2-9.5.R,"1","831"
22-823-sj2-1.4.R,"1","204"
2-T5-sj2-9.49.R,"1","645"
22-823-sj2-1.3.R,"1","173"
2-T5-sj2-9.48.H,"1","663"
22-823-sj2-1.2.R,"1","231"
2-T5-sj2-9.47.R,"1","567"
22-823-sj2-1.1.R,"1","110"
2-T5-sj2-9.46.R,"1","645"
2-T5-sj2-9.45.R,"1","848"
2-T5-sj2-9.44.H,"1","573"
22-827-sj2-1.7.R,"1","382"
22-827-sj2-1.6.R,"1","480"
2-T5-sj2-9.56.H,"1","650"
22-827-sj2-1.5.H,"1","468"
2-T5-sj2-9.55.H,"1","651"
22-827-sj2-1.4.R,"1","385"
2-T5-sj2-9.54.R,"1","647"
22-827-sj2-1.3.H,"1","421"
2-T5-sj2-9.53.R,"1","652"
22-827-sj2-1.2.H,"1","367"
2-T5-sj2-9.52.H,"1","576"
22-827-sj2-1.1.R,"1","436"
2-T5-sj2-9.51.R,"1","658"
2-T5-sj2-9.50.H,"1","660"
2-T5-sj2-9.65.R,"1","827"
2-T5-sj2-9.64.R,"1","652"
2-T5-sj2-9.62.R,"1","833"
2-T5-sj2-9.61.H,"1","850"
2-T5-sj2-9.60.H,"1","654"
2-T5-sj2-9.6.H,"1","850"
2-T5-sj2-9.59.H,"1","578"
2-T5-sj2-9.58.R,"1","647"
22-901-7-sj2-1.1.R,"1","238"
